image,target_hazard_score,target_label,predicted_hazard_score,predicted_label,score_bin,abs_error
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_3MNlOXIBmRR_f0RVeY_HNw_heading_135_pitch_-7_png.rf.c1bf5711a9643d174a0d7ea3ab32b6a7.jpg,0.0,0,0.9235399961471558,1,"(0.9, 1.0]",0.9235399961471558
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_5NoXOGEnBy0SeEpfA1cY3Q_heading_81_pitch_-4_png.rf.256355ab5d31f3b382272127a42ece7d.jpg,0.0,0,0.8826692700386047,1,"(0.8, 0.9]",0.8826692700386047
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_0r77OonkrrRzqOc2avcgWA_heading_334_pitch_-1_png.rf.1560667077434d621fc85be79fe603b2.jpg,0.880797,1,0.00521386694163084,0,"(-0.001, 0.1]",0.8755831330583692
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_51xyD3sfzr2Ff9se54pIlA_heading_24_pitch_0_png.rf.5557dac1847e0db170fd32e563c4db66.jpg,0.880797,1,0.008458162657916546,0,"(-0.001, 0.1]",0.8723388373420835
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_5xrYIBRhUTqkJOmx1nRz6g_heading_329_pitch_-2_png.rf.6520c5f6ad85580412c8e92b40bde29e.jpg,0.880797,1,0.016426274552941322,0,"(-0.001, 0.1]",0.8643707254470587
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_2V0RLs7Z7nBDyLrBiHDL_Q_heading_317_pitch_1_png.rf.01e3431b8b7cd6189b59c86311a97e3d.jpg,0.880797,1,0.017235562205314636,0,"(-0.001, 0.1]",0.8635614377946854
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_04t3WOvWGEeADd7lCOlk4Q_heading_341_pitch_-2_png.rf.888828ce212da218746c7c380ce5e6a1.jpg,0.880797,1,0.02330007404088974,0,"(-0.001, 0.1]",0.8574969259591103
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_1msXsUEdWrEOSOxpIlXUXA_heading_99_pitch_-1_png.rf.1878bedccb8d1a8b29df3d3442f3a2d6.jpg,0.880797,1,0.025270577520132065,0,"(-0.001, 0.1]",0.855526422479868
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_0aOhSv0EjLoEZl39Ogih2Q_heading_251_pitch_7_png.rf.3f4e7cc5d3b064c7362d426062ed07ae.jpg,0.880797,1,0.025686830282211304,0,"(-0.001, 0.1]",0.8551101697177887
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_3V7CLUqU7Gv9j3pGavE1tg_heading_5_pitch_-8_png.rf.774ba445680a2d2ea7b7ac242217cbba.jpg,0.880797,1,0.03078685887157917,0,"(-0.001, 0.1]",0.8500101411284209
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_142IoaoqcJ3JNwHQERUW2Q_heading_347_pitch_14_png.rf.6a505e8d6276bc83c7c3d71faa050d83.jpg,0.880797,1,0.030847715213894844,0,"(-0.001, 0.1]",0.8499492847861052
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_5uBsBvcyMgG9m7CDHr4xxQ_heading_290_pitch_2_png.rf.e4b8d1730a06f2469200bd7665f902a1.jpg,0.00055,0,0.846215009689331,1,"(0.8, 0.9]",0.845665009689331
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_0UpquI190hfbEnb0pWKRpQ_heading_2_pitch_5_png.rf.72b8028bd7be4d34dd378143f501449e.jpg,0.880797,1,0.04084623605012894,0,"(-0.001, 0.1]",0.8399507639498711
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_0-JGZBvoBiqfgnLIzWHvHA_heading_134_pitch_0_png.rf.dae290ceab592c4c9d11bfafbba1a8ec.jpg,0.880797,1,0.04348600283265114,0,"(-0.001, 0.1]",0.8373109971673489
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_-ofjwRvu_CtaQiBRxLgxDQ_heading_278_pitch_-3_png.rf.ba5cf9296f66091522815a941eb01c7a.jpg,0.880797,1,0.043882813304662704,0,"(-0.001, 0.1]",0.8369141866953373
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_49bpOgVpbJ2kANxGn_Zyrg_heading_83_pitch_0_png.rf.5512d4faf8527cebd6a54440c4730d37.jpg,0.880797,1,0.04629940539598465,0,"(-0.001, 0.1]",0.8344975946040154
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_0dA6SMNAl34aiJ0NWF7Ipg_heading_106_pitch_2_png.rf.68213ab964c753e937dbafa54a931891.jpg,0.880797,1,0.049189019948244095,0,"(-0.001, 0.1]",0.831607980051756
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_3nrpBVljG_MNmIUVS3KXFg_heading_130_pitch_1_png.rf.885b66f0e6658865341808482b81e4e5.jpg,0.880797,1,0.050353042781353,0,"(-0.001, 0.1]",0.830443957218647
/content/drive/MyDrive/Offical Project.v8i.coco/test/_panoid_3MNlOXIBmRR_f0RVeY_HNw_heading_203_pitch_-7_png.rf.355c3607d5c490cc25e4b1032172f625.jpg,0.880797,1,0.052477672696113586,0,"(-0.001, 0.1]",0.8283193273038865
