path,label_path,hazard_score,label,split
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_8LFYXfCh0iqajPTgDIg2OQ_heading_300_pitch_4_png.rf.8872ba7c190450cb1a07ab21e8794e21.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5scDM-AqPZj156Bft9Ib-A_heading_268_pitch_-1_png.rf.f1654cd167e5cd0d128ab68853f0939b.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6dlnB-oG-WLzaDnB1DG63A_heading_351_pitch_0_png.rf.c1db606e9962b4a220428125b56f4c57.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_guKWElSHC0pLx206d0LeSQ_heading_213_pitch_-3_png.rf.006790edbf8a704a157e44fe17a6b95e.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_BbODdwRCpT7Yc7VKG5RHqg_heading_211_pitch_-2_png.rf.300827bce114c4070e52fdaeb045aa1a.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_7Lg_V4_dS5uc3PQhbgVrfw_heading_15_pitch_0_png.rf.3641a0bd5ee57fa179a7245da5b9abac.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.667726,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_93piF7o4ltXBJObwlz5Xmg_heading_269_pitch_-1_png.rf.b3756270e3236c5498271e4808d35910.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_g40dIhJnEl2BxPoGcRf_oA_heading_52_pitch_2_png.rf.569d54bcb7283459258eeb943adab2e2.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_FtlKR7fd-h1CtlB3AyO00Q_heading_322_pitch_2_png.rf.6e0636e9cac001a13515d2ec2dca3f37.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_cinrz4Q9dfkTvT3dqVzXNA_heading_242_pitch_0_png.rf.8c657b53bcdfd4f846dfe1fd658f0e24.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.102784,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6j9U48Iw8eX01rDzBVlW5Q_heading_11_pitch_4_png.rf.bf4a68cc8e0dc273811215f905686722.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6lugJD-ccxOa0Kw5nmtN8g_heading_327_pitch_-4_png.rf.e0b65873b69c5c2268161befdcd5eb15.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5VZ4blExC70gafZw59WBgQ_heading_306_pitch_1_png.rf.f059534fd8e3d10c599be4fa43b5daa8.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_6b6nDN9jVrQZBcSL819rWQ_heading_145_pitch_0_png.rf.8345ffdb5703b89bb4c3ff1087c6b116.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_2Ti14ZZR7LNO1EIC9j5GAg_heading_95_pitch_-3_png.rf.fffcf1b3ad5f25502579954cad1de7c8.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_4InVtr19MOtThvi9MhJFUQ_heading_53_pitch_1_png.rf.2d85882e6be3897fb68eb502a2862220.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_Cs4Cl90g9i0BHF0oHp-RVA_heading_220_pitch_0_png.rf.a4237d172917eeb2f82fac4b83071e66.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_84Wf2dZgLnNH1Y968RQwZw_heading_253_pitch_-1_png.rf.d3853d11de9c483d48ee00c2f845f45d.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_7nn73v5a9Lzm03sGRpTAuA_heading_208_pitch_-4_png.rf.45d9b4adce454e4d3553689caf59c583.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_-Lv9d5eX5oCw2vmeC81xbg_heading_137_pitch_0_png.rf.63e91338987474f6e5fa19d1c600a621.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_130C9vhxYhWR37Y6oxzK0Q_heading_73_pitch_6_png.rf.8eeb2306a706396d6dc0d8888fdada46.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.880797,1,train
/content/drive/MyDrive/Offical Project.v8i.coco/train/_panoid_5DomcTHJiCjMF-BV7pCa1A_heading_64_pitch_3_png.rf.c0b9650014cce2b1479f87cbd97703ef.jpg,/content/drive/MyDrive/Offical Project.v8i.coco/train/_annotations.coco.json,0.000000,0,train
