epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.117,1.62248,2.16295,1.69479,0.504,0.54868,0.52561,0.24743,1.59341,1.91178,1.6401,0.00055258,0.00055258,0.00055258
2,109.027,1.53094,1.83635,1.63427,0.25904,0.37564,0.25802,0.12658,1.76475,2.38503,1.80762,0.0010863,0.0010863,0.0010863
3,161.719,1.52333,1.79335,1.64929,0.49186,0.43223,0.45263,0.22795,1.56884,2.12752,1.7545,0.00159802,0.00159802,0.00159802
4,216.213,1.50209,1.74922,1.62513,0.55815,0.57688,0.58819,0.31089,1.38551,1.70823,1.51915,0.00156798,0.00156798,0.00156798
5,269.577,1.46648,1.70109,1.60345,0.5753,0.55375,0.56564,0.30752,1.42424,1.59444,1.53847,0.00153497,0.00153497,0.00153497
6,323.468,1.44773,1.67506,1.59222,0.55771,0.53612,0.61023,0.33733,1.39404,1.54333,1.51292,0.00150197,0.00150197,0.00150197
7,376.346,1.41868,1.63734,1.56518,0.6178,0.62641,0.65631,0.37508,1.31606,1.47055,1.44155,0.00146896,0.00146896,0.00146896
8,431.052,1.4053,1.6425,1.561,0.51489,0.5524,0.56927,0.32176,1.3381,1.61315,1.48598,0.00143595,0.00143595,0.00143595
9,482.494,1.37761,1.59245,1.54254,0.59285,0.60019,0.6233,0.36973,1.2894,1.46129,1.46287,0.00140295,0.00140295,0.00140295
10,535.166,1.36827,1.57168,1.5313,0.56811,0.55538,0.58667,0.31645,1.42926,1.60212,1.54112,0.00136994,0.00136994,0.00136994
11,587.406,1.3592,1.54201,1.52566,0.60812,0.54162,0.61745,0.36338,1.37254,1.44788,1.51373,0.00133693,0.00133693,0.00133693
12,642.641,1.34519,1.53344,1.51186,0.66555,0.54057,0.64876,0.36943,1.33258,1.4322,1.47462,0.00130393,0.00130393,0.00130393
13,695.507,1.33094,1.49768,1.5005,0.52813,0.60496,0.5558,0.30939,1.39311,1.50363,1.53493,0.00127092,0.00127092,0.00127092
14,748.633,1.3237,1.49187,1.49382,0.58707,0.59371,0.62184,0.35538,1.35762,1.41579,1.48198,0.00123791,0.00123791,0.00123791
15,801.301,1.30847,1.47527,1.49079,0.5402,0.55824,0.58162,0.33275,1.34767,1.47054,1.47175,0.00120491,0.00120491,0.00120491
16,855.846,1.30653,1.46925,1.48361,0.62102,0.59698,0.64233,0.37073,1.32321,1.37254,1.45428,0.0011719,0.0011719,0.0011719
17,908.059,1.29197,1.44017,1.46534,0.55536,0.61094,0.63868,0.36989,1.35169,1.43831,1.49857,0.00113889,0.00113889,0.00113889
18,962.494,1.28906,1.43595,1.46778,0.58405,0.64519,0.6586,0.37893,1.29154,1.33,1.465,0.00110589,0.00110589,0.00110589
19,1015.19,1.28011,1.41555,1.46097,0.57227,0.62907,0.65741,0.39123,1.30537,1.33355,1.45173,0.00107288,0.00107288,0.00107288
20,1069.26,1.26391,1.38618,1.44585,0.63345,0.58035,0.626,0.37163,1.32241,1.35354,1.452,0.00103987,0.00103987,0.00103987
21,1121.08,1.26077,1.37757,1.44201,0.60046,0.60853,0.62165,0.3747,1.23582,1.37477,1.41026,0.00100687,0.00100687,0.00100687
22,1171.69,1.25322,1.37472,1.44039,0.6857,0.5673,0.66326,0.39208,1.27722,1.30651,1.43784,0.000973861,0.000973861,0.000973861
23,1223.93,1.24017,1.3489,1.4278,0.60254,0.61981,0.64772,0.39035,1.27384,1.36701,1.42044,0.000940855,0.000940855,0.000940855
24,1275.02,1.23514,1.34681,1.42564,0.60948,0.58961,0.62875,0.38447,1.28484,1.33922,1.42564,0.000907848,0.000907848,0.000907848
25,1326.68,1.2171,1.32699,1.41467,0.62537,0.59612,0.67485,0.39939,1.29234,1.26987,1.45064,0.000874842,0.000874842,0.000874842
26,1378.83,1.22579,1.32074,1.41661,0.67274,0.60794,0.67552,0.39062,1.29141,1.25321,1.44244,0.000841835,0.000841835,0.000841835
27,1430.34,1.20293,1.30208,1.40076,0.66491,0.59236,0.66982,0.38796,1.26583,1.27433,1.41104,0.000808828,0.000808828,0.000808828
28,1482.78,1.19557,1.29523,1.39826,0.55243,0.69704,0.64599,0.37954,1.30559,1.29638,1.44017,0.000775822,0.000775822,0.000775822
29,1533.44,1.19671,1.28081,1.39857,0.56982,0.61679,0.61191,0.37226,1.28415,1.31505,1.42909,0.000742815,0.000742815,0.000742815
30,1585.18,1.17992,1.26514,1.38609,0.62504,0.6001,0.66929,0.39508,1.29621,1.27606,1.45864,0.000709809,0.000709809,0.000709809
31,1637.14,1.17624,1.25321,1.38442,0.59357,0.62608,0.65195,0.38426,1.30363,1.29284,1.44214,0.000676802,0.000676802,0.000676802
32,1688.6,1.17359,1.25503,1.38061,0.5899,0.63536,0.6491,0.38466,1.29192,1.29275,1.45774,0.000643795,0.000643795,0.000643795
33,1742.23,1.16001,1.24602,1.3728,0.59961,0.62465,0.62708,0.37897,1.29227,1.29428,1.44222,0.000610789,0.000610789,0.000610789
34,1793.96,1.14508,1.21689,1.35816,0.61959,0.55986,0.62473,0.36673,1.31023,1.33966,1.47208,0.000577782,0.000577782,0.000577782
35,1846.87,1.14527,1.20948,1.35779,0.59105,0.6516,0.64494,0.38102,1.27235,1.31952,1.43569,0.000544776,0.000544776,0.000544776
36,1899.13,1.1385,1.19796,1.35234,0.63536,0.59554,0.63069,0.37531,1.28176,1.29918,1.45443,0.000511769,0.000511769,0.000511769
37,1953.54,1.12702,1.18069,1.34129,0.56195,0.64861,0.61683,0.36556,1.31796,1.28808,1.45703,0.000478762,0.000478762,0.000478762
